trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,Welcome.started,text_welcome.started,key_resp_welcome.started,Welcome.stopped,key_resp_welcome.keys,key_resp_welcome.rt,key_resp_welcome.duration,Instructions.started,text_instructions.started,key_resp_instructions.started,Instructions.stopped,key_resp_instructions.keys,key_resp_instructions.rt,key_resp_instructions.duration,Trial.started,mouse.started,square.started,fixation_cross.started,fixation_cross.stopped,circle.started,letter.started,Trial.stopped,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,NasaTLX.started,text_mental_demand.started,slider_mental_demand.started,text_fisical_demand.started,slider_fisical_demand.started,text_temporal_demand.started,sider_temporal_demand.started,text_effort.started,slider_effort.started,text_performance.started,slider_performance.started,text_frustation.started,slider_frustation.started,key_resp_3.started,NasaTLX.stopped,slider_mental_demand.response,slider_mental_demand.rt,slider_fisical_demand.response,slider_fisical_demand.rt,sider_temporal_demand.response,sider_temporal_demand.rt,slider_effort.response,slider_effort.rt,slider_performance.response,slider_performance.rt,slider_frustation.response,slider_frustation.rt,key_resp_3.keys,key_resp_3.rt,key_resp_3.duration,Pause.started,text_pause.started,key_resp_pause.started,Pause.stopped,key_resp_pause.keys,key_resp_pause.rt,key_resp_pause.duration,End.started,text_end.started,text_end.stopped,End.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,0.024964900000668422,0.0410784000005151,0.0410784000005151,3.3448824000006425,space,3.2487811999999394,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,68,001,2024-08-02_13h44.59.570,Dual_para,2024.1.5,None,2024-08-02 14h58.00.126951 -0600,
,,,,,,,,,,,,,3.34493780000048,3.3566599000005226,3.3566599000005226,33.447903000000224,space,30.085645199999817,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,68,001,2024-08-02_13h44.59.570,Dual_para,2024.1.5,None,2024-08-02 14h58.00.126951 -0600,
0,0,0,0,33.463912000000164,,,,,,,,,,,,,,,,33.44998720000058,0.004783100000167906,33.497330400000465,33.497330400000465,34.06382660000054,34.51358380000056,34.51358380000056,93.47857939999994,[-639.0],[-70.0],[1],[0],[0],[56.616139899999325],93.4803382,93.61176950000026,93.61176950000026,93.61176950000026,93.61176950000026,93.61176950000026,93.61176950000026,93.61176950000026,93.61176950000026,93.61176950000026,93.61176950000026,93.61176950000026,93.61176950000026,93.61176950000026,96.42892100000063,None,None,None,None,None,None,None,None,None,None,None,None,space,2.7822542999992947,None,96.43020870000055,96.4441925000001,96.4441925000001,97.77841420000004,space,1.318196799999896,None,,,,,68,001,2024-08-02_13h44.59.570,Dual_para,2024.1.5,None,2024-08-02 14h58.00.126951 -0600,
1,0,1,0,97.79394520000005,,,,,,,,,,,,,,,,97.77954450000016,0.0007910000003903406,97.81063989999984,97.81063989999984,98.37712700000066,98.8269792000001,98.8269792000001,157.8085430000001,"[58.0, 165.0, 55.0, 108.0, -107.0, 631.0]","[-125.0, -300.0, -34.0, 197.0, -494.0, -412.0]","[1, 1, 1, 1, 1, 1]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[11.613276400000359, 11.962655500000437, 15.228593800000453, 23.925400099999933, 29.707710399999996, 32.82278630000019]",157.80917480000062,157.92501549999997,157.92501549999997,157.92501549999997,157.92501549999997,157.92501549999997,157.92501549999997,157.92501549999997,157.92501549999997,157.92501549999997,157.92501549999997,157.92501549999997,157.92501549999997,157.92501549999997,172.83768770000006,-1.0,12.30902370000058,None,None,None,None,None,None,None,None,None,None,space,14.86942799999997,None,172.83841870000015,172.8537223000003,172.8537223000003,174.37058230000002,space,1.5008162000003722,None,,,,,68,001,2024-08-02_13h44.59.570,Dual_para,2024.1.5,None,2024-08-02 14h58.00.126951 -0600,
2,0,2,0,174.38659689999986,,,,,,,,,,,,,,,,174.3711032000001,0.0004742999999507447,174.40327920000072,174.40327920000072,174.96973940000044,175.41979280000032,175.41979280000032,234.40140490000067,[],[],[],[],[],[],234.4021370999999,234.51778040000045,234.51778040000045,234.51778040000045,234.51778040000045,234.51778040000045,234.51778040000045,234.51778040000045,234.51778040000045,234.51778040000045,234.51778040000045,234.51778040000045,234.51778040000045,234.51778040000045,247.93145670000013,None,None,None,None,None,None,None,None,None,None,None,None,space,13.364938599999732,None,247.93219170000066,247.94695899999988,247.94695899999988,280.68812870000056,space,32.72709450000002,None,,,,,68,001,2024-08-02_13h44.59.570,Dual_para,2024.1.5,None,2024-08-02 14h58.00.126951 -0600,
3,0,3,0,280.7035622000003,,,,,,,,,,,,,,,,280.68920570000046,0.0009067000000868575,280.7202326000006,280.7202326000006,281.2866100000001,281.7364458000002,281.7364458000002,340.7181322000006,"[-401.0, -166.0, -186.0]","[462.0, -146.0, -463.0]","[1, 1, 1]","[0, 0, 0]","[0, 0, 0]","[5.364117300000544, 15.261621999999988, 16.02775819999988]",340.7188053,340.8345717000002,340.8345717000002,340.8345717000002,340.8345717000002,340.8345717000002,340.8345717000002,340.8345717000002,340.8345717000002,340.8345717000002,340.8345717000002,340.8345717000002,340.8345717000002,340.8345717000002,409.0977929999999,None,None,None,None,None,None,None,None,None,None,None,None,space,68.20815810000022,None,409.0985313000001,409.1133030000001,409.1133030000001,412.4299107000006,space,3.305244999999559,None,,,,,68,001,2024-08-02_13h44.59.570,Dual_para,2024.1.5,None,2024-08-02 14h58.00.126951 -0600,
4,0,4,0,412.44563090000065,,,,,,,,,,,,,,,,412.4306531000002,0.0006843999999546213,412.46233759999996,412.46233759999996,413.0288335000005,413.47869249999985,413.47869249999985,472.44362439999986,"[-411.0, -170.0]","[-229.0, -434.0]","[1, 1]","[0, 0]","[0, 0]","[52.88303189999988, 54.31629299999986]",472.4441919000001,472.56012120000014,472.56012120000014,472.56012120000014,472.56012120000014,472.56012120000014,472.56012120000014,472.56012120000014,472.56012120000014,472.56012120000014,472.56012120000014,472.56012120000014,472.56012120000014,472.56012120000014,473.76109840000026,None,None,None,None,None,None,None,None,None,None,None,None,space,1.162398999999823,None,473.76182940000035,473.77642259999993,473.77642259999993,475.65995960000055,space,1.8742664000001241,None,,,,,68,001,2024-08-02_13h44.59.570,Dual_para,2024.1.5,None,2024-08-02 14h58.00.126951 -0600,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,475.66035569999985,475.67584930000066,476.6756202000006,476.65961590000006,68,001,2024-08-02_13h44.59.570,Dual_para,2024.1.5,None,2024-08-02 14h58.00.126951 -0600,
